SourceFile,PageNumber,Date,Details,Debit,Credit,Balance
31st October 2025.PDF,7,28 Oct 2025,IANARA ARAUJO FERN,,315.00,
31st October 2025.PDF,7,,TxnDate: 26Oct2025,,,368.69
31st October 2025.PDF,8,,HAP,29.20,,
31st October 2025.PDF,8,,D/D NAPS LOAN AIB,290.63,,
31st October 2025.PDF,8,,VDC-Decathlon Ball,40.00,,8.86
31st October 2025.PDF,8,30 Oct 2025,V165179435301025NA,,327.00,
31st October 2025.PDF,8,,VDC-JUSTTIP,0.25,,335.61
31st October 2025.PDF,8,31 Oct 2025,LN 93338491657658,,1500.00,1835.61
Account,Numberpage,Date,Details,Debit,Credit,Balance
27th November 2025.PDF,1,11 Nov 2025,VDC-HICKEYS PHARMA,,4.50,507.14
27th November 2025.PDF,2,17 Nov 2025,BALANCE FORWARD,,,368.71
27th November 2025.PDF,2,,VDC-DUBLIN ZOO,12.00,,356.71
27th November 2025.PDF,2,18 Nov 2025,VDP-MYIQ.COM/EU,14.99,,
27th November 2025.PDF,2,,VDP-NETFLIX.COM,10.99,,330.73
27th November 2025.PDF,2,20 Nov 2025,V165179435201125NA,,327.00,
27th November 2025.PDF,2,,VDP-BRAZIER SPORTS,30.00,,
27th November 2025.PDF,2,,VDP-BRAZIER SPORTS,60.00,,
27th November 2025.PDF,2,,VDC-CIRCLE K BALRO,30.00,,537.73
27th November 2025.PDF,2,24 Nov 2025,HAP,29.20,,
27th November 2025.PDF,2,,D/D ROYAL LONDON,64.03,,
27th November 2025.PDF,2,,VDC-CIRCLE K M9 KI,50.00,,
27th November 2025.PDF,2,,VDC-DUBLIN AIRPORT,3.00,,
27th November 2025.PDF,2,,VDC-DUNNES CLONDAL,17.85,,373.65
27th November 2025.PDF,2,25 Nov 2025,D/D NAPS LOAN AIB,290.63,,
27th November 2025.PDF,2,,IE25112027312669,83.02,,
27th November 2025.PDF,2,27 Nov 2025,V165179435271125NA,,327.00,
27th November 2025.PDF,2,,VDC-CIRCLE K NEWLA,8.50,,
27th November 2025.PDF,2,,VDC-MR PRICE,9.27,,
27th November 2025.PDF,2,,VDC-NYA*Gough Brot,1.00,,391.25
SourceFile,PageNumber,Date,Details,Debit,Credit,Balance
31st January 2025(1).PDF,1,31 Oct 2024,BALANCE FORWARD,,,809.20
31st January 2025(1).PDF,1,1 Nov 2024,Interest Rate,,,
31st January 2025(1).PDF,1,,D/D CLUBWISE SOFTW,48.00,,
31st January 2025(1).PDF,1,IE24103174336156,761.20,,,
31st January 2025(1).PDF,1,4 Nov 2024,HAP,29.20,,
31st January 2025(1).PDF,1,,D/D NAPS LOAN AIB,203.41,,
31st January 2025(1).PDF,1,,D/D VIRGIN MEDIA I,70.00,,
31st January 2025(1).PDF,1,,IE24103072721404,458.59,,
31st January 2025(1).PDF,1,5 Nov 2024,V165158435051124NA,280.00,,
31st January 2025(1).PDF,1,,D/D THREE IRELAND,34.99,,
31st January 2025(1).PDF,1,,IE24110477360304,,703.60
31st January 2025(1).PDF,1,6 Nov 2024,VDC-CIRCLE K NEWLA,38.02,,
31st January 2025(1).PDF,1,,VDC-HICKEYS PHARMA,74.90,,590.68
31st January 2025(1).PDF,1,7 Nov 2024,V165179435071124NA,,611.00,
31st January 2025(1).PDF,1,,VDP-Revolut**9877*,,280.00,921.68
31st January 2025(1).PDF,1,8 Nov 2024,VDP-Revolut**9877*,,,100.00
31st January 2025(1).PDF,1,,VDC-DUNNES CLONDAL,10.39,,811.29
31st January 2025(1).PDF,1,11 Nov 2024,HAP,29.20,,
31st January 2025(1).PDF,1,,VDC-CIRCLE K NEWLA,50.00,,
31st January 2025(1).PDF,1,,VDC-NYA*Gough Brot,1.00,,
31st January 2025(1).PDF,1,,VDC-NYA*Gough Brot,1.00,,730.09
31st January 2025(1).PDF,1,12 Nov 2024,VDC-CIRCLE K NEWLA,14.00,,
31st January 2025(1).PDF,1,,VDC-HICKEYS PHARMA,147.00,,
31st January 2025(1).PDF,1,,VDC-TOWER MEDICAL,20.00,,549.09
31st January 2025(1).PDF,1,14 Nov 2024,V165179435141124NA,,311.00,
31st January 2025(1).PDF,1,,*MOBI RENT MILLPAR,250.00,,610.09
31st January 2025(1).PDF,2,15 Nov 2024,VDP-RYANAIR GL,32.00,,558.09
31st January 2025(1).PDF,2,22 Nov 2024,VDC-DUNNES CLONDAL,,65.59,309.58
31st January 2025(1).PDF,2,25 Nov 2024,HAP,29.20,,280.38
31st January 2025(1).PDF,3,,D/D NAPS LOAN AIB,83.41,,
31st January 2025(1).PDF,3,,D/D ROYAL LONDON,64.03,,
31st January 2025(1).PDF,3,,IE24112095480281,,,132.94
31st January 2025(1).PDF,3,28 Nov 2024,V165179435281124NA,,411.00,
31st January 2025(1).PDF,3,,VDP-ONLINE MOTOR T,53.00,,
31st January 2025(1).PDF,3,,D/D Electric Irela,121.23,,
31st January 2025(1).PDF,3,,VDC-DUNNES CLONDAL,14.54,,355.17
31st January 2025(1).PDF,3,2 Dec 2024,HAP,29.20,,
31st January 2025(1).PDF,3,,D/D CLUBWISE SOFTW,48.00,,
31st January 2025(1).PDF,3,,IE24112907073782,,,277.97
31st January 2025(1).PDF,3,3 Dec 2024,V165158435031224NA,,280.00,
31st January 2025(1).PDF,3,,D/D NAPS LOAN AIB,203.41,,
31st January 2025(1).PDF,3,,VDC-CIRCLE K NEWLA,14.00,,
31st January 2025(1).PDF,3,,VDC-NYA*Gough Brot,1.00,,339.56
31st January 2025(1).PDF,3,4 Dec 2024,VDC-CLONDALKIN SER,33.35,,306.21
31st January 2025(1).PDF,3,5 Dec 2024,V165179435051224NA,589.00,,
31st January 2025(1).PDF,3,,*MOBI CARD IANAR,170.00,,
31st January 2025(1).PDF,3,,D/D VIRGIN MEDIA I,70.00,,
31st January 2025(1).PDF,3,,IE24120209438617,655.21,,
31st January 2025(1).PDF,3,6 Dec 2024,VDP-Revolut**9877*,300.00,,355.21
31st January 2025(1).PDF,4,,D/D Electric Irela,24.61,,
31st January 2025(1).PDF,4,,D/D THREE IRELAND,35.14,,
31st January 2025(1).PDF,4,,VDC-DUNNES CLONDAL,50.49,,
31st January 2025(1).PDF,4,,VDC-SUMUP *MBEAUT,20.00,,224.97
31st January 2025(1).PDF,4,9 Dec 2024,VDP-Just Eat Irela,30.98,,
31st January 2025(1).PDF,4,,HAP,29.20,,
31st January 2025(1).PDF,4,,VDC-CIRCLE K NEWLA,20.00,,
31st January 2025(1).PDF,4,,VDC-DUBLIN AIRPORT,3.00,,
31st January 2025(1).PDF,4,,VDC-MORE 4 LESS,3.50,,
31st January 2025(1).PDF,4,,VDC-NYA*Superleagu,2.00,,136.29
31st January 2025(1).PDF,4,10 Dec 2024,VDC-Liffey Valley,2.50,,
31st January 2025(1).PDF,4,,VDC-TST-The Rollin,18.00,,
31st January 2025(1).PDF,4,,VDC-3 STORE LIFFEY,20.00,,95.79
31st January 2025(1).PDF,4,12 Dec 2024,V165179435121224NA,311.00,,
31st January 2025(1).PDF,4,,*MOBI RENT MILLPAR,250.00,,156.79
31st January 2025(1).PDF,4,13 Dec 2024,VDC-FREYNES PHARMA,9.75,,147.04
31st January 2025(1).PDF,4,16 Dec 2024,VDP-BOLT.EU/O/2412,10.88,,
31st January 2025(1).PDF,4,,,8.60 GBP@,,
31st January 2025(1).PDF,4,,0.824544,,,
31st January 2025(1).PDF,4,,INCL FX FEE E0.45,,,
31st January 2025(1).PDF,4,,VDP-BOLT.EU/O/2412,32.92,,
31st January 2025(1).PDF,4,,26.60 GBP@,,,
31st January 2025(1).PDF,4,,0.822002,,,
31st January 2025(1).PDF,4,,INCL FX FEE E0.56,,,
31st January 2025(1).PDF,4,,HAP,29.20,,74.04
31st January 2025(1).PDF,5,,VDC-NATURAL HISTOR,49.65,,
31st January 2025(1).PDF,5,,40.25 GBP@,,,
31st January 2025(1).PDF,5,,0.824795,,,
31st January 2025(1).PDF,5,,INCL FX FEE E0.85,24.39,,
31st January 2025(1).PDF,5,18 Dec 2024,IANARA FERNANDES,100.00,,
31st January 2025(1).PDF,5,,VDP-Netflix.com,8.99,,
31st January 2025(1).PDF,5,,D/D eFlow,41.23,,
31st January 2025(1).PDF,5,,IE24121623499595,,,
31st January 2025(1).PDF,5,,VDC-MCDONALDS 7025,2.50,,71.67
31st January 2025(1).PDF,5,19 Dec 2024,V165179435191224NA,622.00,,
31st January 2025(1).PDF,5,,VDC-CIRCLE K NEWLA,20.00,,673.67
31st January 2025(1).PDF,5,20 Dec 2024,VDC-BOOKSTATION TH,13.00,,
31st January 2025(1).PDF,5,,VDC-CIRCLE K NEWLA,11.00,,
31st January 2025(1).PDF,5,,VDC-D Nail,40.00,,
31st January 2025(1).PDF,5,,VDC-D Nail,45.00,,
31st January 2025(1).PDF,5,,VDC-DUNNES CLONDAL,15.50,,
31st January 2025(1).PDF,5,,VDC-THE NATURAL BA,4.50,,
31st January 2025(1).PDF,5,,VDC-TUTHILLS,12.98,,531.69
31st January 2025(1).PDF,5,23 Dec 2024,HAP,29.20,,
31st January 2025(1).PDF,5,,D/D NAPS LOAN AIB,83.41,,
31st January 2025(1).PDF,5,,D/D ROYAL LONDON,64.03,,
31st January 2025(1).PDF,5,,IE24121828074823,,,
31st January 2025(1).PDF,5,24 Dec 2024,VDC-CLONDALKIN WAS,30.00,,325.05
31st January 2025(1).PDF,5,30 Dec 2024,HAP,29.20,,295.85
31st January 2025(1).PDF,6,,FEE-QTR TO 29NOV24,20.30,,
31st January 2025(1).PDF,6,,933384-91657062,,,
31st January 2025(1).PDF,6,,VDC-GINO'S GELATO,7.40,,
31st January 2025(1).PDF,6,,VDC-Q PARK ST. STE,13.50,,
31st January 2025(1).PDF,6,,VDC-TST-Le Centre,2.75,,
31st January 2025(1).PDF,6,,VDC-TST-Le Centre,12.90,,239.00
31st January 2025(1).PDF,6,2 Jan 2025,V165179435020125NA,311.00,,
31st January 2025(1).PDF,6,,IE25010241688432,,,
31st January 2025(1).PDF,6,,VDP-CIRCLE K DUBLI,20.00,,
31st January 2025(1).PDF,6,,D/D CLUBWISE SOFTW,48.00,,
31st January 2025(1).PDF,6,,IE24123140611891,482.00,,
31st January 2025(1).PDF,6,3 Jan 2025,D/D NAPS LOAN AIB,203.41,,
31st January 2025(1).PDF,6,,IE24122737059950,278.59,,
31st January 2025(1).PDF,6,6 Jan 2025,TRANSFER,55.00,,
31st January 2025(1).PDF,6,,IANARA FERNANDES,19.00,,
31st January 2025(1).PDF,6,,IE25010645714349,,,
31st January 2025(1).PDF,6,,HAP,29.20,,
31st January 2025(1).PDF,6,,D/D THREE IRELAND,34.99,,
31st January 2025(1).PDF,6,,IE25010344152288,,,
31st January 2025(1).PDF,6,,D/D VIRGIN MEDIA I,70.00,,
31st January 2025(1).PDF,6,,IE24123140948198,,,
31st January 2025(1).PDF,6,,VDC-CIRCLE K NEWLA,35.00,,
31st January 2025(1).PDF,6,,VDC-HICKEYS PHARMA,159.39,,
31st January 2025(1).PDF,6,,VDC-TUTHILLS,12.99,,11.02
31st January 2025(1).PDF,6,7 Jan 2025,V165158435070125NA,140.00,,
31st January 2025(1).PDF,6,,IE25010746858414,151.02,,
31st January 2025(1).PDF,7,13 Jan 2025,HAP,,29.20,398.52
31st January 2025(1).PDF,7,17 Jan 2025,*MOBI CARD IANAR,,307.00,44.50
31st January 2025(1).PDF,7,27 Jan 2025,HAP,,29.20,356.67
31st January 2025(1).PDF,8,,VDC-GLENDALOUGH RE,8.30,,348.37
31st January 2025(1).PDF,8,28 Jan 2025,D/D Electric Irela,194.94,,
31st January 2025(1).PDF,8,,VDC-CADDEN'S PHARM,12.50,,
31st January 2025(1).PDF,8,"STAMP DUTY 8687 0.12 140.81 services,youcanfindmore",,,
31st January 2025(1).PDF,8,29 Jan 2025,VDC-BOOKSTATION TH,5.00,,
31st January 2025(1).PDF,8,,VDC-EUROGIANT CLON,3.00,,
31st January 2025(1).PDF,8,,VDC-MCCABES PHARMA,9.75,,123.06
31st January 2025(1).PDF,8,30 Jan 2025,V165179435300125NA,327.00,,
