SourceFile,PageNumber,Date,Details,Debit,Credit,Balance
30th April 2025.PDF,5,,VDC-DUNNES CLONDAL,49.79,,9141.33
30th April 2025.PDF,5,3 Apr 2025,V165179435030425NA,327.00,,
30th April 2025.PDF,5,,D/D NAPS LOAN AIB,203.41,,
30th April 2025.PDF,5,,IE25033115904242,, ,9264.92
30th April 2025.PDF,5,4 Apr 2025,D/D VIRGIN MEDIA I,70.00,,
30th April 2025.PDF,5,,VDC-CLONDALKIN SER,30.01,,9164.91
30th April 2025.PDF,5,7 Apr 2025,HAP,29.20,,
30th April 2025.PDF,5,,D/D THREE IRELAND,34.99,,
30th April 2025.PDF,5,,IE25040422863696,9100.72,,
30th April 2025.PDF,5,8 Apr 2025,VDC-CIRCLE K NEWLA,35.00,,9065.72
30th April 2025.PDF,5,10 Apr 2025,V165179435100425NA,294.00,,
30th April 2025.PDF,5,,WITHDRAWAL,8246.89,,
30th April 2025.PDF,5,,D/D Electric Irela,179.04,,
30th April 2025.PDF,5,,IE25040825678801,933.79,,
30th April 2025.PDF,5,14 Apr 2025,HAP,29.20,,
30th April 2025.PDF,5,,D/D NAPS LOAN AIB,285.59,,
30th April 2025.PDF,5,,VDC-CIRCLE K DUBLI,40.00,,579.00
30th April 2025.PDF,5,15 Apr 2025,VDP-CIRCLE K GRANG,7.00,,
30th April 2025.PDF,5,,*MOBI RENT MILLPAR,250.00,,
30th April 2025.PDF,5,,VDC-HICKEYS PHARMA,155.00,,167.00
30th April 2025.PDF,6,,V165179435160425NA,294.00,,
30th April 2025.PDF,6,,D/D eFlow,61.23,,
30th April 2025.PDF,6,,IE25041532009180,399.77,,
30th April 2025.PDF,6,22 Apr 2025,VDP-Netflix.com,10.99,,
30th April 2025.PDF,6,,HAP,29.20,,
30th April 2025.PDF,6,,*MOBI CARD IANAR,90.00,,
30th April 2025.PDF,6,,VDC-BAXTERSTOREY D,3.30,,
30th April 2025.PDF,6,,VDC-CIRCLE K DUBLI,35.00,,
30th April 2025.PDF,6,,VDC-D Nail,45.00,,
30th April 2025.PDF,6,,VDC-DUBLIN ZOO,20.00,,
